htDiff,ageDiff,rankDiff,rank_pointsDiff,aceDiff,dfDiff,svptDiff,firstInDiff,firstWonDiff,secondWonDiff,SvGmsDiff,bpSavedDiff,bpFacedDiff,result
-10.0,4.0876112252,-36.8008041382,225.161254883,-4.70567464828,-2.6267285347,-6.67218780518,-1.47931671143,-4.59857177734,-1.85072898865,-0.851348876953,0.13990688324,0.627844810486,0
7.0,2.7049965777,-54.9473457336,704.050537109,4.59289360046,-0.229880094528,-4.89426422119,-10.6750869751,-0.112155914307,4.04066848755,-0.488869667053,-1.55693483353,-3.74529123306,1
2.0,-1.3004791238,-4.12274932861,49.0554199219,-1.32083320618,0.903833150864,-0.292907714844,6.98612976074,4.29817008972,-3.31064891815,0.185293197632,0.00182723999023,-0.376852989197,0
-13.0,-5.6618754278,-323.176147461,917.612487793,2.78861761093,-3.11653137207,16.5,11.3943099976,10.7384815216,5.21273803711,2.60569095612,0.78319811821,-0.878048419952,1
-8.0,0.59137577,-97.0777206421,452.805114746,0.791796207428,-0.125564098358,-7.10691070557,-4.50907516479,-2.03560256958,-0.549995422363,-0.844950675964,-0.852873325348,-1.58790445328,0
-2.0,-2.1355236139,19.3182830811,59.0773925781,-1.47856748104,-0.483696579933,-3.79208374023,4.27899169922,1.16605758667,-4.16120147705,-0.712677001953,0.219087600708,0.259754657745,1
5.0,3.0910335387,-36.1981277466,1500.35668945,1.98831343651,0.307685136795,-0.510559082031,-8.38525390625,-1.7883644104,5.48140239716,0.0883045196533,-0.473167419434,-1.79518795013,0
5.0,3.9425051335,7.08639526367,-230.702453613,1.57660531998,-2.27327942848,4.05541229248,8.83756637573,7.3169593811,-1.29785442352,0.763966560364,-0.242214202881,-1.11536216736,1
-3.0,4.3613963039,25.0871353149,-233.726318359,-0.661988258362,-1.65438592434,6.23567199707,13.0163726807,6.92514610291,-1.19473648071,0.733918190002,0.10701751709,-0.473099708557,0
15.0,5.1307323751,-39.5484275818,460.729675293,3.1196436882,0.546703219414,2.76498413086,-0.169170379639,2.6960105896,1.54125213623,0.454629898071,-0.212684631348,-0.920374393463,1
